,Text
3190,merhaba konuyla ilgili bilgi almak icin teknoasist merkezi iletisime gecebilirsiniz ilginize tesekkur ederiz
3191,icinde kere ariza kaydi biraktim gecmiyor hiz ultra net abonesi olmama ragman sadece cep telefonune sorununuz cozulmus diye mesaj gelmekte itibari hizindan bahsediyorsunuz biz goremedik yillik aboneyim goremedim cebimdeki dandik cdep telefonu bile yi gordu ben kablolu olarak gorememekteyim hizmetini boyle vereceksiniz yakin zamanta tahutum bitmekte daha tovbeeee merkezlere hiz verip koylere kirsal kesimlere zor gormesi yillardir konuda calisma yapilmamasi bizi guldurmekte
3192,istanbul beykozda mobil hattiniz cekmiyor bayi bana gectik cekim sorunu yok dedi ancak bulundugum bolgede zor cekiyor konusabiliyorum nede interneti kullanabiliyorum kimseye tercih etmiyorum irtma
3193,ya kardesim neti kismayin artik sinir oldum tasiycam artk
3194,cek yor
3195,yav internet olayini cozun bulun bos verin fiberi internet var girmiyor ama ongune cekip goturuyor interneti nasil is
3196,sanane istedigimi derim ben sa na ne
3197,turkcell in faturalandırma sistemi = kime ne tutturursan sistemi..!!!
3198,benden cekecegi var.
3199,odama yeni renk katip kitaplarimi koyabilecegim odami guzellestirecek kitapligi almak icin kazanmak istiyorum kitaplarimin karsisinda keyifle kahvemi yudumlayip hergun kitabimla hasret gidermek fikrim
3200,onlarin fiberine tukureyim yapacaklari isin insallah yedikleri her haram para ailelerinden cikar artik biktim halada umarsizca fiberliyoruz paylasimi yapiyorlar once beyinlerini vicdanlarini fiberlesinler
3201,ozele msj atlmstr
3202,"bugün turkcell'de ""hayat paylaşınca güzel"" anı yaşadım"
3203,ikizlerimi kucagima aldigimda hayata yeniden dogdum her ikiside canimdan parcaydi nefes alip verislerini hissetmek bana guc veriyordu tarif edilemiyecek mutluluk huzurdu cunku onlara kavusmustum ikiside ayni anda gozlerini acip bana baktilar ikiside ayni melodiyi soylediler ingaaa zaman donup anneme baktim sihirli kelimeyi soyledim anne ben bunlara tek basina nasil bakicam
3204,merhaba selma aktoprak vestel sefa cay makinesinin fiyat bilgilerini adresinden inceleyebilirsiniz iyi gunler dileriz
3205,ve turkcell'den aldığım iphone sağlıklı çalışmıyor.daha söyleyecek cok şey var ama daha sonra söylerim
3206,bayilerinizede biraz egitimi verinde neyi nasil yapacaklarini iyi ogrensinler milleti kaziklamak icin bilmedikleri seyleri soyleyip insanlari magdur cileli etmesinler
3207,daha cep telefonu cekmiyor bunlar diyorlar baska ulkedenmi bahsediyor
3208,haftadir aricaz aricaz deddiniz hala aramadiniz aramadinizturk telekom
3209,4 dakıka oldu hala beklıyorum... cıdden agzını burnunu kırıcam turkcell.
3210,koyde telefon cekmiyor siz hala fiber diyosunuz
3211,telekom guzeli biraz yoksulun yaninda olun fiyatlar pahali
3212,butun kampanyalar yeni abonelere eskiler icin neden birsey yapmiyorsunuz ustune birde net yavasladi sen koskoca turk telekomsun yaa yakisiyor
3213,gecmeden once full ceken telefonum gectikten sonra dis ceker oldu nasil o kadar reklam bedava
3214,durum ortada bizde ronaldo gibi donup kaliyoruz reklami birak altyapiyi kur kendi reklamini yapar
3215,#2012tahminleri turkcell'deki sesli komut anlama sistemi hayatın her alanına yayılacak.
3216,gundur internetim kopma sorunu yasiyorum gecen turk telekomumuz var ama interneti yapamadi yazik gun oldu para almaya gelince defa arayip mesaj cekmeyi biliyo ama gundur arizayi yapamadi
3217,sadece kafana atmak icin alirim mehmet bugra ozturk shskshsksh
3218,merhaba konu ilgili capcanli destek hattimizdan detayli bilgi alabilirsiniz capcanli destek hattimiza ulasmak icin adresine tiklayabilirsiniz iyi gunler dileriz
3219,paramiz yok
3220,gayet basarili
3221,bizim bulundugumuz bolgede cekmiyor turk telekom cekmiyor turkcell gayet iyi cekiyordu kastamonu bozkurt
3222,insanlari guzel kandiriyorsunuz asus marka notebook aldim asusla gorusmem gerekiyomus bak simdi zaman neden siz satiyorsunuz sizden aldiysam siz duseceksiniz pesine basinizdan atamazsiniz
3223,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3224,mesela turkcell kuruçeşme arena'da turkcell hattın çekmemesi. #enbuyukironi
3225,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
3226,gaziantep yok sanirim dogru teknosa
3227,bence siz zirvede fiberlemek yerine zirvede birakin
3228,xxx hattin tarife degisikligi icin hattin sahibi tarafindan bugun civarinda aranmasina ragmen arama yapilmayan hat icin her tahsis etmek icin degisiklik yapilmamistir hattin iptal edilmesi talebine ise telekom mudurlugune yasindaki kisinin yol gitmesi gerektigi soyleniyor islerine geldigi tum islemleri cagri merkezinden yapanlar aboneliklerini sonlandirmamak icin takla attiriyorlar bos yere yilda oduyoruz kisa zamanda hattin kapatilmasini saglayip yillik esaretten kurtulacagiz tum abonelerinin hatlarini kapatmasi dilegiyle
3229,sıkıldım artık sizin saçma sapan uygulamanızdan bidaha kampanyalı telefon almakmı töbeler töbesi olsun 2.hattımıda turkcel çekecem
3230,hediye verecegiz diye kandiriyorlar inanmayin vaktinizi bosa harcamayin biri bizimle dalga geciyor
3231,gundur klima borusu bekliyorum boyle rezillik olmaz turk mali diye aldik ama ancak rezillik istanbulda boru yok musteri hizmetleri zaten salmis kendini ilgilenmiyor bekle belki yaz bitmeden boru gelir cumartesi aradidar pazar gunu gelecez arayan soran yok musteri hizmetlerini aradim haberleri yok
3232,evet verildi sadece taksitlendirme yapilicagi hatanin bende olmamasina ragmen taahhudun bozuldugu soylendi bumu verilen bilginiz sizin
3233,ben universitede turk dili edebiyati bolumumunde okuyorum yani kismet olursa ogretmen olacagim okumadigim eserleri ogrencilerime tavsiye etmek veya anlatmak istemiyorum sebeple eger sansim yaver gider yarismayi kazanirsam kitap setini almayi isterim
3234,superonline ı aldılar....başarılı ben superonline kullanıodum
3235,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3236,sanliurfa karakopru ilcesi aydir internet yok ttnet hayat coookkkkk rahat
3237,tahahhut biter bitmez birakacagim birakin fiberi normal interneti dogru duzgun veremiyorsunuz destek hattinizi fazla aradim hala cozemediniz yaziklar olsun
3238,bayildim
3239,hayat paylaşınca güzelmiş hah hiç kusura bakmasın o turkcell ben seni kimseyle paylaşamam  )
3240,süperonline kesinllikle . .
3241,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3242,nokia strateji yatar hata ettiler cihazlar para etmez ben hic begenmedim hem pahali hem dusuk ozellikleri var
3243,bizim sokaga gecen nisan ayinda yil once fiber dosendi etrafimizda apartmana verildigi halde once dilekce vermemize ragmen sokaktan binaya tasindi simdi ewlere verilmesini bekliyoruz ama sokagina hafta once fiber cekilen ogretmen arkadasimin ewine fiber geldi biz gidiyoruz telekoma soruyoruz hala sizin binanin tasorenden ewraklari gelmedi diyorlar yilda dosenmis alt yapidan alip veremediniz interneti
3244,anlatilmaz yasanacak duygu ben senelerce bekledim ani duyguyu yasamayi ben bebegimi saglik sorunlarindan dolayi oncesinden kucagima alacaktim ama hersey olabilir demisti doktorum seninde bebeginde hayati tehlikesi var herseye hazirlikli olmalisin demisti gece sabah olmamisti saatler gecmemisti sanki gelip catti dogumhaneye goturmeye geldiklerinde butun bolumde yatan herkes dualarla gonderdiler beni korku heyacan hepsi aradaydi surekli aglayarak dua ediyordum doktorum sakinlestirmek icin yanima geldi birazdan seni alicam demisti hazirlik basladi iceri alindim sezeryan dogumla dakika sonra oglumun aglamasini duymustum nihayet dogmustu hasretim acilarim dertlerim hersey bitmisti bak bebegin diye getirip gosterdikleri hayatimdaki mutlu animdi ben iyimi acaba sagliklimi nereye goturduler diye birsuru soru soruyordum taki bebegimi esimin kucaginda gorene kadar hickira hickira aglamistim rabbim herkese evlat kokusunu tattirsin hic kimseye aratmasin siz isteyin yeterki rabb imden her mucizeye kadirdir yeterki desin hemen oluverir
3245,telekom birak akk isi nolcak
3246,ronaldo fiber yaramis
3247,tavsi̇ye: iphonedan kullanilan online islemlerin icinde superonline bilgilerimizde olsa daha faydali olur.
3248,"oha #turkcell bu da mı gol değil ulan ben geç öğrenci kampüslü bi tarifenizdeyim 92,68 tl lik fatura nereme!"
3249,bende dusmedi ttnet kullaniyorum mbit hala
3250,hocam meaengerdan ulasamadim
3251,bu kurumda var sikayet esecek mercii yoksa hukuki yani tuketici mahkemesi baska yok
3252,benimde cok yedi turksel ya iptal ettigim servisleri tekrar actilar filan simdi vodafonedayim gayet iyi hic sorun yasamadim
3253,lg v fiyati kadar
3254,iphone paket aboneliginiz iptal edilmistir.  ne demek
3255,ekonomik mı ya soydunuz soğana çevirdiniz doymadınız
3256,"charlene li: ""geleneksel medya için hazırlanan içeriği alıp sosyal medyada paylaşmak sosyal medya iletişimi değildir."" #pazarlamakonferansi"
3257,i̇yi ki kontr aldım... dün geceden beri aynı anda 10 mesaj atıp beni yalnız bırakmayan turkcell sağol canım....
3258,amina kodumu soytarilari
3259,superonline cok iyi
3260,berke soyledigin hiz limiti icin hayal maalesef
3261,özümle 47dk 13 snye konuştuk turkcell bize dua ediyodur şimdi :d
3262,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3263,ne yaptı ki turkcell? ben yanlış paket almisim aradım müşteri hizmetlerini tllerimi geri gönderdiler :)
3264,sony xperia bukadar kaliteli iste
3265,#sondakika turkcell europe türk iş yerleriyle tanınan köln weidengasse'daki esnafa noel jesti yaptı.
3266,ya ssd diskler neden fiyatlari dusmuyor abi
3267,"bu turkcell varya....100 dk konusma hakki verdi,selenle 10 sn konustuk 5 dakikası coktan gitti nasıl is anlamadiim."
3268,hala arayacaksiniz turk telekom kac saat oldu yaziklar olsun sizin gibi kuruluslara
3269,merhaba cihazinizin uyumlu olup olmadigi kontrolunu cep telefonunuzdan izin sonrasinda hazir yazip sms gondererek ogrenebilirsiniz uyumlu cihaz kullanan musterilerimiz uyumlu olmayan sim kartlarini ucretsiz olarak degistirebilirler tesekkurler
3270,turkcell mi :d
3271,bnce süperonline yada smileadsl yap
3272,bence guzeli spider man
3273,bin diyo dalga geciyorlar
3274,bişi diyim mi sana hayat uyuyunca güzel.. gn
3275,hirsizlar
3276,bole internet olmaz olsun
3277,"2002 den beri bi insan birine asik olmaz ki? turkcell le saygili,seviyeli ve uzatmali bir iliskim var hep yanimda canim benim ya."
3278,gunaydin hayirli sabahla hayirli nurlu bereketli saglikli gunlerin olsun insallah canim
3279,bende internetimden sikayetciyim avea iyice sasirdi yakinda baska operatore tasiycam
3280,bu int hat cekim yuzunden birakacam yakindir yani neyi fiberliyonuz anlasak
3281,bi tvbu internet hizmeti aldim tvbu kurmaya hala gelmedilr gun oldu birazdaha gecerse modemide camlarindan iceri sokacam kaldi musteri hizmetleri deil bunlarinki cumhurbaskanligina ulasmaya calisiyosun
3282,bi turkcell mesaj atıyo bi de turkcell ve bi de turkcell :(
3283,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3284,operatorumun kampanyalarindan birinden yararlanmaktayim mesaj dakika internet paketi kullaniyorum arkadasimla mesajlastim numara tamamen yurt ici numarasi gorunuyor mesajlarin tumune ucretlendirme yansitilmis fakat hattin yurt disi numarasi olduguna dair hic bilgi yok ayrica bilgilendirme mesaji gonderilmedi normalde butun kampanyalar reklamlar icin surekli araniyor mesaj yollaniyor fakat boyle durumlarda tarifem olarak yansitilacagi hakkinda hicbir bilgi yok kaldi ben muneccim degilim numaranin yurt disi oldugunu nasil anlayabilirim ucretlendirme olacagi bilgisi gelmezse telefon faturasi geldi bunu odeyebilmem imkansiz yani her zaten fazla fatura oduyordum biktim artik durumdan gerekli duzenlenme yapilmazsa tuketici haklarina basvuracagim
3285,magdi ibrahiim
3286,sen yazilanlara bakma kardesim vestel iyi markadir
3287,daha telefonda doru duzgun yazisini gormedim geliyo gelecegine akn kasdirin hepinizi cennete sokacak dua alirsiniz benden solemesi
3288,telefon kendini gosteriyor teknosa fiyat uca biraz vergiler falan parasi olan alir diyeyim
3289,merhaba metin inceleme yaparak size bilgi verebilmemiz icin urunu satin alirken kullandiginiz posta adresinizi cep telefonu numaranizi ozel mesaj iletmenizi rica ederiz
3290,speed test internetinizin anasini aglatiyor farkinda degilsiniz
3291,allahin sopasi yok ama allahtan sosyal medya diye birsey var eskiden kime derdini anlatacaktin simdi azindan okuyolardir
3292,ben yaklasik aydir internette kopmalar yasiyorum surekli musteri hizmetlerini ariyorum bana surekli gerekli kontrelleri yaptik kisa zamanda donulcek deniyo ama gelinmiyo artik gerekli yardim yapilmadigi halde btk sikayette buluncam
3293,lanet olsun turkcel...
3294,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
3295,turk telekom yildir cozemedigi sorunumu bugun ucretli bakim teklifinde bulunarak cozdugunu dusunuyor boyle yenilik yapiyorsunuz sizin icin musteri memnuniyeti onemli degil herhalde zaman bizde taahhut biter bitmez bizi onemseyen firmayla calisiriz
3296,"benim anlamadığım otoparkın -4. katında canavar gibi çeken turkcell vınn, 19. kattaki evimde sürekli tekliyor. i̇lginç valla.."
3297,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
3298,istanbul kucuk ciftlik parkiymis
3299,"iphone 4s turkcell, vodafone ve avea’da satışa çıktı: apple’ın en yeni akıllı telefonu iphone 4s, cep telefonu o..."
3300,ben aveaya geçtim tcell çok olmaya başlamıştı bu arada nasılsın =)
3301,hep faturalari yuksek geliyor
3302,sakin teknosadan sey almayin benim aldim tum urunler kacak mal cikti
3303,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
3304,pttcell sagolsun gif yuklendigi gibi resim dondu
3305,merhaba hangi hizmetimiz icin telefon internet cep telefonu bilgi almak istediginizi iletisim bilgilerinizi facebook mesaj iletebilir misiniz
3306,j prime kullanislimi
3307,yalaaan inanmayin dedikleri pakete aylik lira anlastik gecen sene sene lira fatura geliyor sikayet ediyoruz ilgilenmiyorlar herturlu yokusu yapiyorlar sakin bulasmayin ben boyle ilgisiz boyle camur firma daha gormedim
3308,bu benden sana gelsin vestel
3309,ozaman allah belanizi versin diyim
3310,ttnete turktelekoma hakkimi helal etmiyorum anlasmami var mis netimi kestiler neymis anlsmadan dolayi kapatilan internete hemceza hemde fatura istiyorlar yaziklar olsun zaten cekmeyen internete ayda lira oduyorum kapatmak icin indirim bedeli bidunya para istiyorlar sakin yaklasmayin ttnete turk telekoma faturaya devam net kapali yaziklar olsun
3311,turk telekomun yaptigi guzel hizmet reklamlara reklam yildizlarima milyon dolarlar harcamak cem yilma ornegi ronaldo digerleri yonetim zihniyeti yamamen rank hizmet anlayisi yokkkk dna larina kadar bildigim firma
3312,valla denemede yaptim valla billah
3313,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
3314,fiyat basl peki cokmu azmi. alablrzz uygunsaa
3315,begendim paylastim
3316,hayat cimcoma koyunca güzel paylaşınca fln değil ahahaha:d
3317,evim yerimdeki internetin hizida yuksegini aldim yok efendim ordaki hatlar max veriliyormus ozaman keriz gibi bana niye alamayacagim hizmeti satiyorsun diyeceksin niye duruyorsun tahut bitmek uzere tabi onu bekliyorum sakin tahut yapmayin hicbirsey icin benden soylemesi
3318,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3319,vestel turkiyenin markalar gururudur
3320,katildim
3321,o turkcell atakan mis zaten tahmin ediodum :d
3322,i̇novasyonda büyük ödül turkcell'in!
3323,gozlerine baktigim kokusunu icime cektigim ilk emzirdigim saniye gogsume yatirdigim ana kadar hayatindaki tum onceliklerin onunde yer aldigi ugruna tum dunyayi yakabildigin canini seve seve verebilecegin daha suru an iste zaman sen anne olmussundur umarim herkes gun anne olur umarim cocukkara siddet gosterenler annelikten men olur
3324,mbps hiza fiber diyip bide kampanya diye diyorsunuz kafa yapinizi hala anlayan cikmadi henuz
3325,tv unye servisinde karsiligi tamirat yapacaklarini soylemisti servisiniz bugun tekrar arandim masrafin oldugu soylendi nasil lanet olsun televizyona markasina
3326,sn. turkcell ön kayıtımı iptal ettirin lütfen.4s turkcell iletişim merkezinden aldım
3327,ellerine saglik supersiniz
3328,fiberleyelim pasam orayida dusuk gercekden
3329,steve jobs mutavazi adamdi son yillarini hayatin anlamini aramak icin gecirdi
3330,turkcell ile yollarımızı ayırdık.turkcell e hayatta başarılar. hayatı paylaşmama izin vermediler. bende yolları ayırdım.
3331,sozde internet hizi yalan arkadasim
3332,turk telekom diye hatmi olur gnctrkcll gencligin gucu
3333,siz utanin hele bulgarlarin internet hizlarina fiyatina bakin turk telekoma bakin yuzunuz kizarsin bulgar firmasi aldigi parayi hizmete siz reklama yatirirsiniz anca
3334,şikayet kaydı açtırıyorum 48 saat arayan arkadaş 30 saniyede işlemimi yapıyor.yine aynı şey oldu 48 saat daha..
3335,oha amk arkadaşla 14 dk konuştuk 6 tl 22kurus gitmiş. resmen soyuldum türkcell tarafından...
3336,bizde daha cekmiyor giga diyorsunuz hatta sebeke cekmiyor
3337,operatorumun kampanyalarindan birinden yararlanmaktayim mesaj dakika internet paketi kullaniyorum arkadasimla mesajlastim numara tamamen yurt ici numarasi gorunuyor mesajlarin tumune ucretlendirme yansitilmis fakat hattin yurt disi numarasi olduguna dair hic bilgi yok ayrica bilgilendirme mesaji gonderilmedi normalde butun kampanyalar reklamlar icin surekli araniyor mesaj yollaniyor fakat boyle durumlarda tarifem olarak yansitilacagi hakkinda hicbir bilgi yok kaldi ben muneccim degilim numaranin yurt disi oldugunu nasil anlayabilirim ucretlendirme olacagi bilgisi gelmezse telefon faturasi geldi bunu odeyebilmem imkansiz yani her zaten fazla fatura oduyordum biktim artik durumdan gerekli duzenlenme yapilmazsa tuketici haklarina basvuracagim
3338,teknoloji ugruna dogaya zarar veriyoruz heryerde baz istasyon dalgalarinin olmasi arilar icin felaket biz insanlar nekadar kotuyuz
3339,eğer oturduğunuz bolgede varsa superonline fiber net geçmelisiniz.
3340,pttcell neden hediyenize dahil degil acaba
3341,sayın turkcell gmy si cok cok cok şiddetle firmanızdan sikayetciyim!!!!vodafone a geçiş yapıyorum ve tüm yakın cevreme...
3342,alin d
3343,merhaba bize ilettiginiz talebinizle ilgili kisa surede sizinle iletisime gececegiz
3344,burdan yazin azicik cesaretiniz varsa memleket gorsun hizmeti viyys
3345,hep ayni talebimiz isleme alinmis onuncu alinisi kolay gele
3346,bu kez de çok kaliteli olmuş :)
3347,ınternet paketım bıtmek uzere ya 1 ay bıle olmadı turkcell allah belanı versın
3348,edirneden karsa tum turkiyede hafta karneler aliniyor tum okullarda kimi aglasada kimi gulsede cocuklari mutlu edelim teknosada
3349,sizlerinde yeni yiliniz kutlu olsun
3350,faturalı hat sahiplerine bir şey yok mu?
3351,ya ronaldoyu birakin mesaj atiyoruz sorunumuzu cevap verilmiyor musteri temsilcileri piskin piskin hareket ediyor batsin ronaldonuz
3352,"""arkadaşımın telefonunda sevgilisinin adını turkcell diye değiştirdim gelen msjları okumadan siliyor ayrıldı..."
3353,fiber alt yapi diyorsunuz daha iyi hizmet icin birlestik diyorsunuz avea iken kurum daha iyiydi nerdeyse her yerde cekiyor internet vardi simdi birakin fiber internet olayini telefonla konusamiyoruz bile daha once bulundugum yerlerde simdi tlfnla bile konusamiyorum sebekinin olmadigi yerde nasil daha iyi hizmet sunmayi dusunuyorsunuz bunu size soruyorum durum boyle devam ederse taahut surem bittikten sonra baska hatta gecmeyi dusunuyorum
3354,sayin ttnet veya turl telelom artik yeter istanbul sislide oturuyorum internet baglandiginda fiber gelcek dediler fiber modem verdiler ama hala yapi yokdeniyor siteden var gozukaede telefondan arayimca yok diyerek yardimci olamiyoruz denilmekte aryik care ben srnedir bos bos her modem parasi veriyorum rezillik
3355,turkcellin rezil oldugu yil
3356,almayin pahali olursa
3357,merhaba bolgeyi size ilettigimiz baglanti kontrol edebilirsiniz
3358,ronaldoya kiz lazim
3359,katta tel cekmiyor
3360,ismimden kayutli bilgiler ztrnn iptal ettirecem hattimiaveami turk telekom uzagim artik
3361,merhaba konu hakkinda detayli bilgiye adresinden ulasabilirsiniz tesekkurler
3362,"koray bey, manisa tezcan tim'de 14 günde 2 defa kandırıldım, o çalışanlar turkcell'e yakışmıyorlar, bilginize."
3363,hepsi
3364,"iphone 4 konusunda babamın kanına girdim bugün :) turkcell'den aldığım katalog ile yanına gidip, istiyorum bunu dedim :)"
3365,"i̇phone'un yeni modeli i̇phone 4s, turkcell tarafından satışa sunulacak."
3366,turk telekom yalan atmayin siz once internet fibernet altyapilarini verin sonra verinn yalan atmayin millete lutfen
3367,evin icinde istanbul gibi sehirde cekmeyen hat neymis inandirici olmak icin once sebeke sorunlarinizi cozun
3368,hatti gecirdim guya gune acilcakti kac gun oldu halen acilmadi
3369,blackberry kullaniyorum ama turkcell i phone paketim var. isn't it ironic?
3370,boyle sacma fakat direk beni gulumsetmeyi basaran mesaji veren reklam yok
3371,360 turkcell ve irem diyim deniz anlar ama doruk yine fransız kalıcak üzgünüm hahaha :d
3372,ulassaniz olacak deneme amacli verdigimiz modemde bile sorun ciktigina gore sorun sizde bunu kabul edin yeter bide modemi almak icin kere arayip insani rahatsiz etmekte neyin nesidir
3373,benim sony telefoncu aliyor teknosa sayiyor beyinler piril piril
3374,yuuhh hic gerek yok
3375,sacma reklam filmi olmus insanlar telefonunda baglanti hiz gelismeler icin boyle deli gibi dans edip ziplayip oynamaz hic akil yok filmi hazirlayanin
3376,ama limitsiz hiz siniri olayindan vazgecin
3377,oyun yukluyorum gun hala inmiyo sjsjsks
3378,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
3379,aslında uzun bir süredir ortada ama yaygınlaşınca turkcell bir aralar android marketi de yasaklamıştı sonları aynı olur.
3380,online islemlerden yazdim size yaniti alinca tuketici hakem heyetine sikayetimi yaptim sonucu alinca gorusuruz insallah burdan paylasiriz yine karari bakalim kimi hakli gorecekler
3381,istanbul bayrampada internet cekimi hatta hat mukemmel cekiyor halen cam kenarlarinda hat ariyoruz musteri hizmetlerini ariyoruz baz yok calismada yok diyor
3382,ne turkcell'i ya ? haftaya kurtuluyorum inşallah :d
3383,iyi aksamlarrrrrrr
3384,özturkcell e geciş yap ;) :)))
3385,bir milyon mms
3386,surekli paylasiyorsunuz ama benim evin onune daha tel alt yapisi cekmediniz oldu hic hizmet alamiyoruz
3387,"sevgili turkcell dandik operatörler metroda çekiyor, turkcell neden çekmiyor :("
3388,gonderdim turk telekom
3389,farkli abonelikten ayda enaz ucret oduyorum sorunla karsilasildiginda tane muhatap bulamiyorsun ama yapilabilecek birsey yok hepsi ayni hersey urunu satana kadar hizmet kalitesi sifir daha dogrusu hizmet verecek kapasitede personeli yok
3390,teknosa teknosayi seviyorum
3391,mrhb oldu ronaldoya tekirdag kapakli ilcesinden yaziyorum cerkezkoy ilcesinde var kapakli yok arkadaki mesafe sizin ronaldo yaslanmis zaten bolgede sikinti var halen devam diyor koskoca kapakli ilcesi cerkezkoy bile daha buyuk nufus olarak turkiye goc alan ilcesi vodafone turkcell full sizde tik yok ronaldo yaslanmis kapakli ilcesinde cerkezkoy kapakli arasinda kapakli girisinde olan vahit ince ust gecide kadar var carsida hic mahallede yok yurube turk telekom bismillah yillardir zaten sikayet ediyorum sorun var diye emindim olacakti oldu turkcell vodafone kadar olamadiniz ama artik yeter sabrin yeri var yazdigimi artik tum sosyal medya hesaplarinda yorum yapip paylasacagim yoksa sizlerin birsey yapmaya niyeti yok kapakli ilcesinde koskoca ilcede bin nufuslu ilce yok onemli yurttaslarim madem bulundugunuz bolgede yoksa sizlerde yapmaniz gereken aboneligini iptal ettirin bosuna para vermeyin bolgenize zaman gelirse ozaman gecin lafin kisasi turk ttelekom tekirdag kapakli ilcesinde pert cekmiyor hemde her heryerde cekmiyor turkiye goc alan ilcesinin hali aboneliginizi iptal ettirin kisa zamanda baz istasyonu kursunlar yoksa sene daha bekleriz
3392,0531 241 25 37 'den gelen mesajları dikkate almayın. sevgili  bilgine.
3393,fiyati belli olacakmi siparisin
3394,adil kullanimlar yetersiz sacmaliyorsuniz
3395,an itibarı ile superonline benim için bitmiştir.13 yıllık faturalı turkcell hattımıda en kısa zamanda taşıyacağım.
3396,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3397,vadofon hatla duzgun puruzsuz
3398,hepsi yalan ben turkcelle gectim beklerim
3399,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
3400,tum yorumlari yanlitlamissiniz helal olsun
3401,fiyati kac
3402,turk telekom merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
3403,cep telefonu melodısı turkcell sarkısı olan adam mehmet emın karamehmetın oglu herhalde.
3404,izmit alikahyada internet disarda bile tek kademe cekiyor evde internet nede telefon cekiyor ttnet desen arasinda veriyor bide fibere yalanya ucuz olmasa turk telekoma kimse gelmez bende yakintarihte ayrilcam
3405,asin bayraklari d
3406,bu urunu sony center alin hem sattigini bilen hemde ilgili insanlar goreceksiniz ayrica sorun olsa iyi yardimlari oluyor
3407,sonra dun telekom teknik ekibi mahalleye geldi dun uykuluydum cikip bagirmalarina karsilik vermedim mahalleyi nasil azarlarlar nasil mahalle kabloyu koruyamiyor caldiriyor bsrde sikayet ediyorsunuz ekip tamami gorevden alindi diye bagiriyor sen kapagi acik birak bas git ilgilenme milleti azarlar nasil azarlar bas bas bagirir gectim hizmet verilmemesi cezalandirmamiydi madem calindi nasil oluyorda burada sorun yok eklerde sey vardir yarinda oraya bakalim diyerek gidiyorlar mahalledeki kadinlar cevap verince susup gitmisler
3408,""" turkcell superonline 1 milyon haneye fiber i̇nterneti taşıdı, sabit numara taşımada lider oldu."
3409,ttnette hizlanacakmi sadece hatlar hizlanacak diyorlar akkde kalkicakmi lutfen link atmadan cevap verin
3410,bu mall istanbul subesi degil
3411,merhaba bize ulasan talebinizle ilgili kisa surede sizinle iletisime gececegiz
3412,sehir merkezinde bile cekimiyo hiza bak
3413,basitti denemede yaptim
3414,"aynen, acaba başka birinden mi diye ümitleniyorum ama yok yine turkcell"
3415,istnbulun gobeginde mps olmsi gereken hiz yalnizca
3416,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
3417,"nerdeyse 4 ay oldu , bu hizmet seklinizd benziyceksd fiber internetiniz uzak durulmali"
3418,turkcell'le bağlan hayata... turkcell zengin olmasın da kim olsun be
3419,bizim televizyon tamamen yayin gidiyor simdi goturduler yine
3420,superonline'ın yüksek hızlı internetini bağlattır ttnetten uzak dur
3421,valla ben turk telekomdan memnunum sahsen
3422,ttnet internet asla evinize baglatmayin pisman olursunuz
3423,samsung olur
3424,"turkcell canım o,emin olabilirsin bende de o numara kayıtlı müş. tems. :)"
3425,lanet olası turkcell 2gün faturayı geç ödesek ölecek hemen kapat hattı aramalara allahım ya :
3426,selam kolay gelsin
